N,P,K,temperature,humidity,ph,rainfall,label
22.05,67.26,20.46,28.64,36.03,6.01,88.74,pigeonpeas
23.63,57.69,23.0,24.08,42.93,5.26,94.61,pigeonpeas
16.57,59.65,17.9,27.59,48.45,6.59,70.02,pigeonpeas
21.25,63.58,23.33,27.97,35.24,6.35,62.07,pigeonpeas
20.49,59.31,18.07,21.88,47.43,5.67,89.31,pigeonpeas
19.05,56.03,22.84,21.14,43.66,6.37,73.3,pigeonpeas
15.57,60.61,24.44,25.06,48.43,6.26,67.96,pigeonpeas
19.18,66.26,16.01,21.06,40.53,5.86,99.21,pigeonpeas
15.68,62.78,16.79,28.68,37.27,5.81,89.52,pigeonpeas
22.05,61.34,18.47,22.37,40.29,5.41,79.32,pigeonpeas
17.69,59.31,21.57,28.65,47.07,5.15,63.02,pigeonpeas
24.51,59.46,15.92,24.59,47.47,6.3,70.7,pigeonpeas
15.15,69.48,17.51,25.44,49.13,6.22,72.52,pigeonpeas
17.71,63.97,23.66,28.41,37.12,5.31,97.79,pigeonpeas
22.37,68.24,17.03,24.46,49.02,6.36,76.33,pigeonpeas
15.15,63.74,17.53,22.95,54.15,5.8,93.59,pigeonpeas
16.89,65.09,24.77,19.12,35.17,5.87,63.71,pigeonpeas
22.48,68.72,19.34,20.85,43.69,6.45,60.36,pigeonpeas
20.89,64.2,21.38,20.66,49.28,5.18,67.97,pigeonpeas
23.77,66.08,15.14,20.73,39.29,5.54,69.9,pigeonpeas
15.63,61.88,22.33,24.67,48.46,5.16,98.06,pigeonpeas
23.38,67.08,23.23,28.26,45.89,5.4,84.67,pigeonpeas
22.43,66.07,20.21,18.75,42.42,6.84,83.38,pigeonpeas
20.38,59.03,18.68,27.85,48.33,6.57,78.17,pigeonpeas
21.3,58.73,22.05,22.7,43.85,6.3,97.45,pigeonpeas
15.64,67.37,17.92,22.88,35.44,5.6,80.11,pigeonpeas
15.56,62.37,24.27,19.16,50.29,5.82,86.21,pigeonpeas
17.6,57.39,16.6,18.78,38.71,6.33,95.27,pigeonpeas
23.14,65.28,16.1,21.18,41.2,5.5,80.6,pigeonpeas
20.36,60.35,18.54,27.11,50.79,5.62,96.55,pigeonpeas
24.53,59.9,18.54,23.56,53.82,6.75,64.1,pigeonpeas
18.93,63.3,20.03,20.13,52.18,6.35,93.52,pigeonpeas
23.59,66.23,19.39,24.72,38.21,6.35,67.17,pigeonpeas
21.94,58.44,16.18,19.82,35.04,6.44,89.3,pigeonpeas
20.15,57.42,15.84,18.21,38.31,6.78,69.66,pigeonpeas
18.54,56.58,17.22,23.71,47.16,5.49,62.31,pigeonpeas
18.91,58.51,17.2,28.56,47.33,6.11,76.63,pigeonpeas
19.29,63.11,21.96,25.72,38.43,6.0,76.48,pigeonpeas
23.71,64.47,20.33,19.27,47.11,5.23,73.49,pigeonpeas
16.43,65.38,17.06,22.31,52.91,5.41,80.31,pigeonpeas
19.19,55.27,22.93,18.76,44.49,6.12,85.14,pigeonpeas
21.89,58.8,15.1,25.96,45.71,6.67,92.86,pigeonpeas
23.43,62.28,18.34,26.71,44.03,5.37,94.2,pigeonpeas
23.83,61.99,15.76,22.27,51.07,6.8,68.14,pigeonpeas
15.67,68.16,18.89,23.96,54.36,5.13,85.93,pigeonpeas
15.74,60.63,23.04,22.77,54.94,6.12,72.85,pigeonpeas
17.2,60.26,18.73,18.76,42.39,5.93,88.91,pigeonpeas
21.57,65.63,15.08,20.39,48.23,5.97,60.21,pigeonpeas
23.04,66.59,20.48,18.73,50.33,6.17,91.28,pigeonpeas
22.52,67.05,20.18,19.54,48.42,6.24,89.69,pigeonpeas
16.7,57.92,23.9,26.25,53.16,6.52,83.89,pigeonpeas
21.54,68.34,20.79,24.96,38.13,5.95,88.66,pigeonpeas
17.71,58.03,18.14,20.66,39.3,5.85,96.31,pigeonpeas
20.07,57.82,15.77,25.66,42.66,6.64,86.38,pigeonpeas
22.96,59.08,21.92,20.9,53.78,6.27,72.98,pigeonpeas
17.7,57.86,21.95,20.41,46.91,5.53,86.48,pigeonpeas
23.15,66.67,22.61,20.06,36.77,6.4,74.73,pigeonpeas
19.32,55.47,17.6,18.37,52.58,5.49,82.29,pigeonpeas
15.39,65.0,18.23,27.88,52.76,5.65,96.04,pigeonpeas
24.96,67.38,23.45,20.74,46.53,5.13,63.8,pigeonpeas
24.99,59.9,22.48,26.87,52.16,7.0,69.66,pigeonpeas
15.4,61.17,16.3,18.25,42.21,6.57,82.65,pigeonpeas
18.13,64.82,17.32,18.16,50.29,6.25,90.49,pigeonpeas
15.39,67.56,21.2,24.2,47.49,6.73,83.48,pigeonpeas
20.81,69.86,22.57,22.87,49.15,5.78,69.16,pigeonpeas
20.97,68.92,24.29,21.76,45.55,5.42,99.83,pigeonpeas
24.81,64.74,23.04,25.87,46.86,5.11,78.19,pigeonpeas
21.75,65.16,18.73,28.36,38.35,6.0,87.64,pigeonpeas
21.97,64.73,17.75,19.72,47.72,6.2,67.17,pigeonpeas
22.05,61.83,21.68,27.21,38.39,5.04,91.16,pigeonpeas
21.1,65.49,23.38,26.83,54.22,6.07,79.54,pigeonpeas
19.02,57.31,20.73,21.05,53.43,6.17,83.71,pigeonpeas
18.55,55.78,15.32,22.66,36.69,6.21,95.24,pigeonpeas
23.83,64.89,17.11,27.49,52.72,5.39,89.5,pigeonpeas
17.87,52.04,24.97,25.3,38.46,7.25,59.2,mothbeans
19.65,52.71,15.62,28.35,26.01,7.95,54.51,mothbeans
23.53,54.07,15.85,28.86,26.07,6.42,36.88,mothbeans
19.69,44.03,16.01,26.67,27.21,7.95,52.78,mothbeans
24.68,46.6,17.78,32.98,29.89,6.6,36.98,mothbeans
16.3,43.85,18.55,31.74,25.94,6.42,54.27,mothbeans
16.47,45.14,23.65,26.55,26.24,6.97,39.07,mothbeans
20.63,52.06,16.37,30.81,32.58,6.29,48.72,mothbeans
17.74,47.32,15.82,29.6,29.6,7.64,31.71,mothbeans
19.19,46.88,22.25,30.74,35.01,7.55,55.87,mothbeans
18.14,48.07,23.4,34.89,38.34,6.74,35.85,mothbeans
19.89,51.12,19.93,29.83,37.57,6.72,55.79,mothbeans
19.07,44.92,19.54,32.62,26.89,6.39,58.54,mothbeans
16.75,48.52,20.79,29.9,34.67,6.46,46.58,mothbeans
18.72,49.93,16.41,30.71,27.78,6.56,36.56,mothbeans
16.83,52.39,17.86,34.27,39.55,7.14,34.29,mothbeans
18.75,51.97,18.67,25.87,33.35,7.69,53.88,mothbeans
16.75,50.09,17.21,27.18,38.11,6.5,37.9,mothbeans
15.01,53.06,22.93,31.27,36.25,6.3,43.75,mothbeans
18.51,41.41,19.86,34.21,25.6,6.58,36.23,mothbeans
17.38,53.63,19.68,29.66,36.41,6.31,44.62,mothbeans
19.3,48.95,25.0,32.69,30.97,7.66,35.12,mothbeans
15.3,43.07,18.4,30.11,34.23,7.82,45.3,mothbeans
20.01,40.75,15.35,30.51,31.57,7.68,34.82,mothbeans
15.25,46.74,17.37,25.5,35.87,6.22,48.25,mothbeans
17.81,42.6,18.8,33.01,30.88,7.5,33.76,mothbeans
22.73,43.55,21.77,30.66,38.94,6.77,31.98,mothbeans
15.19,52.4,20.25,32.75,28.52,6.69,30.9,mothbeans
24.61,50.02,24.33,27.65,34.17,7.36,39.53,mothbeans
23.48,54.21,23.85,32.39,29.16,6.56,58.9,mothbeans
15.1,50.74,22.06,31.23,39.85,6.62,40.2,mothbeans
15.79,46.64,17.61,28.43,37.52,7.87,35.57,mothbeans
18.73,53.93,15.62,25.92,27.44,7.19,34.51,mothbeans
24.68,46.7,20.02,27.47,32.06,7.32,52.54,mothbeans
22.54,48.67,24.04,33.17,36.36,6.11,30.21,mothbeans
17.12,49.95,19.11,29.02,38.27,7.79,57.28,mothbeans
18.14,50.37,17.72,26.91,27.77,6.68,42.9,mothbeans
23.31,41.8,22.35,30.31,29.32,6.99,39.0,mothbeans
20.96,46.51,16.64,26.17,33.2,7.8,40.32,mothbeans
22.33,49.88,24.32,33.21,33.5,7.31,56.95,mothbeans
19.0,44.9,15.11,33.27,37.01,6.21,47.31,mothbeans
19.64,41.78,24.81,27.15,26.01,7.19,52.17,mothbeans
15.32,49.88,20.32,26.03,27.59,7.14,38.89,mothbeans
24.38,52.28,24.84,27.6,39.55,6.86,40.43,mothbeans
15.5,40.79,21.92,29.58,28.4,7.23,37.59,mothbeans
20.78,45.39,23.24,33.21,32.16,6.7,40.88,mothbeans
23.06,44.92,17.09,25.85,32.0,6.96,55.23,mothbeans
17.21,45.71,23.08,33.24,30.77,6.92,39.1,mothbeans
24.33,41.78,24.34,31.84,32.97,6.07,44.27,mothbeans
19.08,42.42,21.56,34.71,33.43,7.43,32.05,mothbeans
19.18,41.75,21.13,34.38,34.93,6.15,40.64,mothbeans
20.51,46.05,23.34,33.15,34.18,6.75,37.66,mothbeans
16.06,45.32,19.13,31.76,34.87,6.14,41.86,mothbeans
16.82,42.35,23.27,25.42,31.29,6.34,56.38,mothbeans
20.57,43.47,20.02,32.31,39.37,6.44,56.59,mothbeans
24.34,53.75,21.35,31.3,31.05,7.5,45.94,mothbeans
21.77,46.43,22.31,33.24,27.2,7.67,46.21,mothbeans
23.45,46.47,18.79,34.15,28.77,7.69,44.52,mothbeans
20.14,44.63,20.73,28.25,25.59,6.54,30.19,mothbeans
24.78,54.49,18.95,32.28,30.19,7.34,54.16,mothbeans
24.47,46.0,22.83,27.66,39.85,6.05,48.11,mothbeans
21.6,50.32,16.2,34.39,27.72,7.25,36.68,mothbeans
18.07,48.2,19.17,26.6,27.56,6.84,52.72,mothbeans
23.98,41.26,18.93,26.0,25.25,7.32,48.07,mothbeans
16.63,43.51,15.24,33.35,39.62,6.27,36.94,mothbeans
23.68,53.9,19.2,25.51,25.59,7.15,41.79,mothbeans
15.29,48.75,15.11,32.87,29.6,6.08,47.65,mothbeans
18.98,54.61,20.44,27.75,35.64,6.54,57.13,mothbeans
18.75,48.25,15.51,29.26,37.49,7.61,36.73,mothbeans
17.26,52.26,24.3,25.95,31.75,6.67,56.12,mothbeans
15.84,43.17,22.52,25.51,32.39,6.88,40.03,mothbeans
18.95,47.95,16.61,30.72,37.08,7.52,34.62,mothbeans
16.49,44.02,18.61,29.08,35.2,6.11,31.04,mothbeans
18.92,50.46,16.93,31.42,28.9,7.77,56.87,mothbeans
17.97,43.45,19.11,27.41,35.09,7.65,50.19,mothbeans
23.24,45.95,16.56,32.38,30.41,7.34,38.12,mothbeans
15.81,54.89,16.56,34.88,39.66,7.59,49.78,mothbeans
20.78,52.99,17.89,29.68,34.29,6.82,42.82,mothbeans
18.3,48.46,23.51,27.02,39.02,7.38,54.7,mothbeans
20.56,51.69,15.16,33.18,25.6,7.78,59.76,mothbeans
17.94,43.15,22.65,27.53,37.98,6.21,33.78,mothbeans
24.79,50.11,23.47,28.24,35.15,7.19,48.09,mothbeans
21.83,48.63,19.29,27.76,36.53,6.45,50.77,mothbeans
17.33,49.38,22.47,27.19,25.9,6.26,48.18,mothbeans
23.49,40.67,22.34,28.41,32.18,7.86,39.96,mothbeans
19.65,40.21,15.82,27.59,25.42,7.26,42.79,mothbeans
20.48,42.62,17.96,31.64,39.48,6.1,56.71,mothbeans
20.77,48.46,20.0,25.69,26.35,7.2,40.23,mothbeans
24.17,46.1,16.43,32.15,29.4,7.05,50.93,mothbeans
24.0,51.88,21.76,31.8,39.19,6.59,30.03,mothbeans
17.72,43.27,21.62,31.34,33.9,6.03,51.86,mothbeans
18.24,49.98,20.57,28.43,27.02,6.19,54.95,mothbeans
24.18,49.75,16.03,29.02,35.93,7.56,33.55,mothbeans
15.0,50.68,18.57,27.54,25.19,7.08,55.53,mothbeans
24.58,48.49,20.14,25.85,33.23,6.76,48.21,mothbeans
18.89,43.6,15.95,28.15,26.45,6.35,59.62,mothbeans
19.44,47.98,23.74,34.96,33.74,7.62,39.81,mothbeans
18.06,46.04,21.73,31.82,29.73,6.27,48.97,mothbeans
16.28,48.68,21.93,32.01,36.3,7.75,45.0,mothbeans
22.3,49.29,16.87,25.26,29.27,6.89,48.51,mothbeans
23.5,42.94,16.26,34.63,81.08,6.72,83.42,mungbean
20.41,41.29,15.57,26.05,85.86,6.82,69.35,mungbean
21.38,52.3,15.42,29.98,86.89,6.38,72.31,mungbean
21.14,53.47,23.1,30.83,87.3,6.55,85.64,mungbean
19.66,42.85,22.02,30.56,83.59,7.37,60.84,mungbean
18.16,40.85,22.67,32.02,83.31,7.01,75.84,mungbean
22.56,46.81,19.12,34.35,82.51,6.18,83.38,mungbean
24.69,45.67,15.62,28.39,85.06,6.24,86.32,mungbean
24.98,46.78,18.55,29.01,81.15,7.32,76.59,mungbean
18.87,49.9,19.42,31.48,80.61,7.22,97.62,mungbean
21.49,54.32,16.51,29.77,86.02,6.87,76.06,mungbean
18.38,41.9,18.92,26.63,87.34,6.31,62.34,mungbean
20.52,48.93,23.72,30.77,83.45,7.2,81.61,mungbean
15.79,48.49,24.08,28.96,82.96,6.22,66.06,mungbean
19.33,48.94,15.81,34.4,87.55,6.88,93.14,mungbean
15.8,47.15,21.3,33.29,87.83,6.42,97.64,mungbean
16.24,53.13,24.71,26.77,87.22,6.06,76.22,mungbean
20.16,48.71,24.36,31.72,84.81,7.21,98.02,mungbean
15.22,54.74,15.86,33.14,82.8,6.2,77.59,mungbean
21.44,45.71,15.55,30.99,89.02,6.57,68.65,mungbean
19.43,40.73,23.2,33.26,85.88,6.53,91.99,mungbean
20.55,52.39,21.31,32.84,85.99,6.62,98.32,mungbean
20.41,49.08,17.2,31.26,85.72,6.28,62.38,mungbean
21.04,51.46,20.23,27.27,86.67,6.12,77.67,mungbean
16.63,42.77,17.02,28.87,80.51,6.6,80.47,mungbean
19.83,45.74,23.39,26.45,85.06,6.09,62.85,mungbean
20.74,48.49,23.78,30.58,89.6,6.07,63.92,mungbean
15.44,42.78,20.41,31.46,80.46,7.42,93.69,mungbean
17.97,41.16,16.7,26.27,81.23,6.78,69.83,mungbean
18.58,54.84,21.84,34.49,81.43,6.57,82.19,mungbean
15.77,40.06,21.7,31.42,84.11,6.73,76.62,mungbean
15.24,45.03,16.77,25.98,89.57,6.9,89.15,mungbean
18.15,45.9,17.37,25.97,81.79,7.2,87.1,mungbean
20.47,47.13,24.22,25.73,82.81,6.52,91.3,mungbean
24.93,43.61,23.74,33.31,82.25,6.6,76.39,mungbean
24.78,42.71,22.99,28.34,87.31,6.63,83.13,mungbean
23.33,52.06,23.66,25.6,86.92,6.21,76.63,mungbean
20.49,46.04,20.2,34.97,81.35,7.01,75.84,mungbean
16.33,42.38,24.49,33.8,89.07,7.49,68.33,mungbean
18.55,50.04,19.84,29.18,83.58,6.89,83.02,mungbean
16.61,47.08,20.53,30.7,82.1,7.11,61.01,mungbean
18.55,51.7,20.64,27.61,86.95,6.85,91.85,mungbean
22.35,49.15,19.88,26.33,82.61,6.63,83.97,mungbean
20.14,44.32,15.06,29.96,82.86,7.1,60.96,mungbean
20.85,54.12,16.74,29.72,80.91,6.94,82.02,mungbean
19.07,47.82,23.97,26.96,80.23,7.29,83.08,mungbean
23.91,48.95,23.1,29.3,87.5,7.37,82.88,mungbean
16.81,44.03,16.99,27.47,83.06,6.83,83.52,mungbean
19.26,49.23,15.82,25.88,81.72,6.78,68.56,mungbean
17.83,46.0,23.12,25.14,86.49,7.0,91.95,mungbean
24.33,40.3,16.54,33.86,84.59,6.85,86.52,mungbean
21.79,53.98,24.97,32.2,82.87,7.32,61.97,mungbean
17.31,53.46,17.56,27.21,81.38,7.29,80.0,mungbean
21.75,43.59,22.58,32.6,83.13,6.62,68.39,mungbean
24.77,49.68,24.35,28.03,87.82,7.15,87.67,mungbean
24.66,45.9,16.31,31.72,87.29,6.86,68.27,mungbean
20.04,44.68,19.27,31.45,87.45,6.35,76.21,mungbean
17.69,42.98,22.83,34.09,83.7,7.13,95.88,mungbean
23.46,42.74,24.56,28.77,83.39,6.09,79.45,mungbean
16.09,43.73,18.17,33.09,88.75,6.45,94.35,mungbean
23.57,51.47,16.47,31.9,89.45,7.02,73.26,mungbean
20.01,49.69,20.11,26.2,83.12,7.2,94.46,mungbean
16.37,54.29,18.29,31.62,87.52,7.22,97.83,mungbean
18.13,52.88,16.32,32.05,87.42,7.02,70.09,mungbean
23.73,42.53,15.54,32.17,84.75,7.27,75.34,mungbean
16.68,52.55,20.49,26.89,87.2,6.77,84.17,mungbean
19.61,52.43,23.3,32.09,81.05,7.26,86.84,mungbean
21.97,45.44,23.79,32.25,81.13,6.61,95.46,mungbean
15.47,54.42,21.79,31.31,82.71,6.37,97.68,mungbean
17.98,51.63,18.93,26.39,80.11,6.82,99.03,mungbean
18.69,45.36,18.44,30.21,84.41,7.32,80.22,mungbean
20.08,42.08,24.83,27.5,80.73,6.99,83.81,mungbean
19.15,46.33,22.85,26.96,88.2,6.97,76.76,mungbean
19.58,43.85,22.52,30.13,83.21,6.89,99.83,mungbean
19.35,53.81,18.45,25.55,82.04,6.63,68.79,mungbean
15.0,53.73,23.44,32.42,81.68,6.18,62.7,mungbean
22.24,53.93,19.31,26.19,85.12,6.52,74.99,mungbean
21.21,50.78,16.11,25.36,89.94,6.35,62.15,mungbean
16.9,40.58,18.92,33.02,83.41,6.67,87.02,mungbean
20.09,52.92,23.66,25.1,87.78,6.69,99.55,mungbean
19.83,54.8,22.55,27.49,85.38,7.49,94.3,mungbean
15.97,50.6,18.46,25.07,84.03,6.35,92.75,mungbean
18.37,52.41,15.01,28.08,82.41,6.35,62.73,mungbean
16.87,48.33,17.91,29.17,83.77,7.31,96.21,mungbean
19.93,44.95,16.07,34.53,80.6,6.45,71.92,mungbean
18.2,42.46,22.83,26.22,86.35,6.19,62.82,mungbean
24.09,42.85,23.21,30.45,80.78,7.43,69.88,mungbean
23.6,42.53,23.54,25.13,85.12,7.15,97.39,mungbean
24.09,52.29,23.88,26.99,82.84,6.43,75.08,mungbean
18.93,48.17,16.6,31.91,81.68,6.47,80.13,mungbean
22.96,51.09,21.46,26.56,85.47,6.13,75.09,mungbean
19.14,40.6,17.74,34.56,89.54,6.53,61.72,mungbean
16.79,45.88,24.48,26.41,87.64,6.16,99.25,mungbean
18.82,51.63,18.43,31.28,81.92,6.22,97.52,mungbean
24.18,53.31,21.25,33.08,80.69,6.5,72.55,mungbean
21.36,45.34,16.49,30.96,88.14,6.57,65.29,mungbean
16.97,43.56,18.0,31.43,86.01,7.04,74.5,mungbean
23.24,43.06,19.69,33.01,81.8,6.16,95.35,mungbean
18.43,50.26,15.25,31.9,83.16,6.08,84.39,mungbean
17.41,45.8,15.81,26.47,82.98,6.13,96.43,mungbean
30.09,62.26,16.23,28.08,83.52,6.24,98.63,blackgram
33.09,66.12,20.47,33.84,76.08,6.8,67.82,blackgram
32.49,68.75,18.28,28.72,80.2,6.51,98.08,blackgram
41.07,63.96,23.81,25.5,70.14,6.7,69.08,blackgram
41.16,68.79,19.24,28.42,84.23,6.67,79.56,blackgram
35.27,68.64,20.69,32.62,81.24,6.51,77.35,blackgram
42.73,60.45,22.94,34.41,77.46,7.11,92.2,blackgram
42.68,60.93,15.51,29.02,78.48,6.68,89.96,blackgram
35.35,64.52,16.86,32.49,75.91,6.31,71.68,blackgram
41.23,62.24,17.16,34.67,79.3,7.44,77.08,blackgram
37.13,68.47,20.25,32.07,70.04,6.67,64.94,blackgram
33.09,55.01,15.39,34.77,69.85,6.99,93.56,blackgram
38.26,57.3,22.28,31.0,79.63,7.15,99.02,blackgram
38.6,60.12,21.48,25.68,82.95,6.18,73.11,blackgram
42.24,63.96,18.94,29.73,82.09,6.51,94.79,blackgram
31.32,66.65,23.48,26.82,73.61,6.25,88.26,blackgram
38.03,64.53,16.96,27.12,65.83,6.48,82.39,blackgram
42.87,65.0,19.35,34.53,79.38,7.4,81.1,blackgram
33.88,55.79,22.26,26.21,71.06,6.8,82.58,blackgram
39.01,57.49,18.8,31.17,84.4,7.09,96.9,blackgram
41.43,63.88,16.92,31.67,77.47,6.9,79.59,blackgram
37.93,60.02,20.19,26.98,81.1,6.28,63.4,blackgram
36.54,64.87,19.38,27.77,76.16,6.52,97.31,blackgram
43.84,62.54,18.28,32.37,65.73,6.71,73.45,blackgram
43.81,55.18,20.53,32.41,74.7,6.13,98.9,blackgram
37.77,64.21,17.37,29.83,73.58,6.11,64.25,blackgram
42.56,58.6,16.95,30.05,80.37,6.09,83.07,blackgram
31.79,55.55,15.53,33.34,67.36,6.07,77.52,blackgram
42.66,58.94,19.22,25.4,73.98,6.87,82.84,blackgram
34.99,59.73,16.07,28.67,66.99,7.15,98.65,blackgram
44.55,67.98,21.01,32.01,70.7,6.95,78.23,blackgram
37.23,66.37,17.82,28.18,83.49,6.08,79.43,blackgram
43.69,64.16,20.46,27.5,71.87,7.28,82.37,blackgram
37.72,56.49,15.16,34.64,72.54,6.9,63.19,blackgram
40.25,68.99,20.76,26.26,76.63,7.15,76.26,blackgram
43.2,64.73,23.99,31.24,67.63,6.46,68.07,blackgram
43.63,66.41,21.76,28.01,68.68,7.13,78.97,blackgram
33.39,64.25,15.4,28.26,74.37,6.22,99.39,blackgram
33.14,56.96,17.04,32.69,73.51,6.85,60.84,blackgram
30.52,61.69,23.17,33.85,66.73,6.81,96.53,blackgram
35.82,67.44,16.34,34.35,80.03,7.41,87.06,blackgram
35.45,69.07,17.76,28.32,79.02,7.15,97.18,blackgram
33.07,66.97,22.39,25.64,72.74,6.42,72.18,blackgram
44.74,64.64,22.18,34.77,72.54,7.2,77.38,blackgram
43.04,57.71,24.48,27.19,71.52,7.13,75.75,blackgram
39.12,61.67,22.42,27.28,66.17,6.45,78.97,blackgram
32.52,60.32,19.0,25.57,76.67,7.33,66.07,blackgram
38.97,64.97,19.19,32.01,73.21,6.76,60.29,blackgram
40.38,64.92,15.38,28.68,84.58,6.63,80.08,blackgram
43.65,65.76,20.82,32.98,82.29,6.69,79.0,blackgram
35.79,69.5,21.97,25.83,82.26,6.72,62.75,blackgram
38.25,61.26,23.78,27.04,81.53,6.84,62.18,blackgram
44.58,62.69,17.91,29.69,82.16,6.46,67.71,blackgram
31.94,59.47,22.8,29.72,69.55,6.25,73.31,blackgram
44.1,60.15,24.88,29.85,68.58,7.34,78.41,blackgram
40.65,69.76,15.5,25.97,79.41,6.42,67.37,blackgram
30.59,55.33,22.74,26.34,74.35,6.91,77.13,blackgram
30.41,66.75,15.11,32.62,82.87,6.65,81.42,blackgram
37.15,60.84,23.87,33.94,71.72,6.92,97.08,blackgram
44.43,62.63,19.53,27.79,84.18,6.21,83.19,blackgram
34.24,59.19,19.05,34.99,66.1,6.87,63.3,blackgram
32.32,61.59,20.1,27.59,71.33,6.13,72.13,blackgram
44.5,69.17,18.35,30.71,83.19,6.01,92.43,blackgram
44.23,56.37,16.61,34.61,75.75,6.02,70.31,blackgram
36.75,65.39,22.33,34.95,70.75,6.81,81.33,blackgram
36.08,57.54,24.77,33.53,74.97,6.9,69.09,blackgram
38.16,65.42,20.15,34.9,77.23,6.56,90.89,blackgram
32.56,60.77,18.47,29.32,80.64,6.73,91.76,blackgram
38.65,60.13,23.1,27.38,69.49,6.76,70.43,blackgram
30.14,64.72,20.11,29.46,84.34,6.86,94.54,blackgram
32.09,63.54,23.68,30.83,79.36,6.56,63.7,blackgram
36.87,60.92,23.67,27.44,84.33,7.44,69.91,blackgram
35.22,68.43,24.67,29.43,71.42,6.79,87.51,blackgram
34.1,66.05,15.52,25.49,72.73,6.53,72.63,blackgram
37.37,59.81,16.92,28.09,84.5,6.62,77.79,blackgram
38.65,69.75,17.42,31.81,79.32,6.91,63.54,blackgram
40.15,55.96,20.96,32.4,69.22,7.26,61.21,blackgram
42.66,61.9,17.18,26.34,84.07,6.11,67.96,blackgram
35.22,64.3,20.45,26.26,70.79,6.36,68.54,blackgram
36.17,65.56,17.17,28.67,72.82,7.46,98.19,blackgram
42.0,58.62,15.68,28.17,70.34,6.76,91.11,blackgram
42.87,67.67,18.6,31.87,71.26,6.09,88.06,blackgram
30.15,61.14,18.29,31.93,80.32,6.46,92.47,blackgram
34.41,61.69,22.27,31.93,84.75,6.34,86.49,blackgram
39.15,68.73,16.56,32.52,76.37,6.41,78.98,blackgram
35.01,63.69,23.89,30.69,77.63,6.78,62.05,blackgram
33.49,62.38,18.1,26.82,75.08,6.48,70.32,blackgram
36.96,57.0,24.28,33.68,79.15,6.16,91.04,blackgram
42.12,66.52,16.14,31.44,81.69,6.87,85.86,blackgram
36.88,62.93,15.34,31.39,66.63,6.65,71.71,blackgram
38.18,57.0,21.92,32.95,68.27,6.16,65.82,blackgram
43.16,62.92,19.67,26.07,77.99,7.3,93.13,blackgram
39.39,56.13,16.12,25.49,70.15,6.2,70.4,blackgram
35.78,69.14,21.1,33.35,79.21,6.17,89.44,blackgram
34.13,64.59,18.41,34.98,70.27,6.42,97.23,blackgram
30.37,65.45,22.25,33.36,84.49,7.46,62.61,blackgram
42.33,64.69,21.47,26.28,78.0,7.47,96.47,blackgram
36.59,55.6,18.62,33.26,79.03,6.69,62.2,blackgram
36.4,62.04,24.29,31.41,71.23,6.79,62.64,blackgram
44.59,60.4,19.78,28.55,78.65,6.99,88.61,blackgram
17.68,59.74,16.25,21.56,65.4,7.2,66.09,lentil
23.91,61.74,19.59,15.77,71.71,7.64,47.34,lentil
19.21,67.58,23.77,17.43,70.51,6.38,43.06,lentil
24.11,67.31,22.6,15.49,73.44,6.88,50.27,lentil
20.46,56.37,22.57,20.82,66.87,6.38,45.53,lentil
15.57,63.82,23.4,15.17,65.49,7.15,64.58,lentil
18.27,60.24,20.96,17.74,65.27,7.47,58.77,lentil
20.81,66.13,21.75,17.06,68.52,6.25,43.9,lentil
21.76,67.88,24.63,21.28,66.84,6.21,64.39,lentil
20.79,64.27,22.81,22.03,73.34,6.11,62.43,lentil
23.51,59.29,21.4,18.14,74.58,6.07,57.39,lentil
16.67,65.68,16.76,17.35,69.94,7.83,46.35,lentil
16.44,66.38,20.01,24.12,66.47,7.29,46.99,lentil
16.57,65.25,20.94,22.55,68.09,6.9,52.16,lentil
24.84,59.38,17.95,18.55,70.65,6.5,67.46,lentil
17.66,68.44,16.03,21.57,74.07,6.34,69.05,lentil
19.53,69.19,21.77,18.02,66.88,6.61,42.79,lentil
16.44,56.57,19.23,22.96,66.41,6.26,59.3,lentil
16.97,56.46,16.67,24.24,73.21,6.71,59.67,lentil
20.37,65.16,21.83,21.29,67.66,6.08,53.67,lentil
23.91,63.54,23.32,24.92,66.64,7.38,60.23,lentil
24.8,69.78,21.87,17.44,72.99,6.21,63.42,lentil
24.1,60.74,21.31,19.3,69.38,6.62,62.86,lentil
24.36,69.11,16.75,23.75,72.37,6.51,42.02,lentil
17.68,68.68,21.33,22.21,67.57,7.44,40.84,lentil
18.75,64.4,16.46,23.23,67.35,7.3,52.16,lentil
20.96,56.61,15.17,24.1,67.7,7.64,69.98,lentil
17.11,58.98,21.63,24.65,74.16,7.01,63.85,lentil
16.36,69.66,24.64,16.64,67.99,6.2,48.15,lentil
23.16,60.67,15.88,18.42,74.81,7.26,52.48,lentil
16.67,69.79,23.21,17.81,65.7,6.11,43.61,lentil
20.81,68.93,19.97,23.43,69.46,7.42,61.96,lentil
16.74,60.42,21.37,15.71,68.62,7.07,69.89,lentil
19.75,67.24,19.32,22.96,70.95,7.77,52.33,lentil
21.04,64.45,19.17,16.44,65.94,6.03,66.21,lentil
17.36,58.17,22.36,18.2,70.06,6.33,68.79,lentil
23.52,67.96,19.07,22.62,66.44,6.02,40.6,lentil
20.87,61.83,20.18,15.07,69.23,7.44,53.28,lentil
22.32,58.5,23.13,20.88,67.11,6.47,58.84,lentil
23.3,61.23,17.58,23.67,71.69,6.9,54.64,lentil
17.04,64.4,18.59,24.96,69.8,6.97,56.98,lentil
